
2021-02-04 17:07:17 INFO  MainController:133 - java.lang.NullPointerException
2021-02-04 17:08:48 INFO  MainController:133 - java.lang.NullPointerException
2021-02-06 09:53:06 INFO  MainController:133 - java.lang.NullPointerException
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:18 INFO  MainController:133 - java.lang.IllegalStateException: Cannot forward after response has been committed
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
2021-02-06 11:04:42 INFO  AnswerMapper:28 - com.microsoft.sqlserver.jdbc.SQLServerException: The column name question_id is not valid.
